number,name,screen_name,profile_image,following,followed_by,description,extra
"234","灯塔说","Cryptodengta","https://pbs.twimg.com/profile_images/1661682721721294849/gcsWlRGo_normal.jpg","true","false","#BTC #ETH #火币HTX\n专注分享价值内容\nBinance Feed创作者\nTG群：http://t.me/btcdengta\nOKX注册链接：http://okx.com/join/dengta40","{""__typename"":""User"",""id"":""VXNlcjoxMzUwOTc5ODgxOTI0OTY0MzU3"",""rest_id"":""1350979881924964357"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Mon Jan 18 01:34:49 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""#BTC #ETH #火币HTX\n专注分享价值内容\nBinance Feed创作者\nTG群：https://t.co/904LTgaWv0\nOKX注册链接：https://t.co/hUAFeyn7kc"",""entities"":{""description"":{""urls"":[{""display_url"":""t.me/btcdengta"",""expanded_url"":""http://t.me/btcdengta"",""url"":""https://t.co/904LTgaWv0"",""indices"":[46,69]},{""display_url"":""okx.com/join/dengta40"",""expanded_url"":""http://okx.com/join/dengta40"",""url"":""https://t.co/hUAFeyn7kc"",""indices"":[78,101]}]},""url"":{""urls"":[{""display_url"":""linktr.ee/cryptodengta"",""expanded_url"":""http://linktr.ee/cryptodengta"",""url"":""https://t.co/6wlWrlsNk2"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":2166,""followers_count"":19108,""friends_count"":823,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":140,""location"":"""",""media_count"":1175,""name"":""灯塔说"",""normal_followers_count"":19108,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1350979881924964357/1685011082"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1661682721721294849/gcsWlRGo_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Cryptodengta"",""statuses_count"":3605,""translator_type"":""none"",""url"":""https://t.co/6wlWrlsNk2"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1469148386477568000"",""professional_type"":""Creator"",""category"":[{""id"":192,""name"":""Financial Services"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1350979881924964357"",""sortIndex"":""1726944887225450254""}"
"235","shaneson.eth","k63jpx","https://pbs.twimg.com/profile_images/1657176184235634689/wP2FzIE-_normal.jpg","true","false","Smart-contract Developer (Solidity, Aptos Move, Sui Move, Vyper, Rust, Cario) | Defi Engineer | 不要困在时间的牢笼里，用发展的眼光看待一切新事物","{""__typename"":""User"",""id"":""VXNlcjoxNDUyNTIyMTE3ODUzOTQ1ODU4"",""rest_id"":""1452522117853945858"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Mon Oct 25 06:27:23 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""Smart-contract Developer (Solidity, Aptos Move, Sui Move, Vyper, Rust, Cario) | Defi Engineer | 不要困在时间的牢笼里，用发展的眼光看待一切新事物"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":1174,""followers_count"":3184,""friends_count"":473,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":82,""location"":"""",""media_count"":208,""name"":""shaneson.eth"",""normal_followers_count"":3184,""pinned_tweet_ids_str"":[""1725495964440646016""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1452522117853945858/1654248445"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1657176184235634689/wP2FzIE-_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""k63jpx"",""statuses_count"":1619,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1537444768070139904"",""professional_type"":""Creator"",""category"":[{""id"":713,""name"":""Science & Technology"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1452522117853945858"",""sortIndex"":""1726944887225450253""}"
"236","MatchNova | Public Beta Live","MatchNovaGlobal","https://pbs.twimg.com/profile_images/1630415184656486401/J-ybtZ5B_normal.jpg","true","false","Easy to learn, Instant FUN. MatchNova is a Match3 game that bridges Web2 users to Web3 through interactive gaming. https://linktr.ee/matchnova","{""__typename"":""User"",""id"":""VXNlcjoxNjMwNDExMzAxMzY0MzI2NDAx"",""rest_id"":""1630411301364326401"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Tue Feb 28 03:38:07 +0000 2023"",""default_profile"":true,""default_profile_image"":false,""description"":""Easy to learn, Instant FUN. MatchNova is a Match3 game that bridges Web2 users to Web3 through interactive gaming. https://t.co/VkPlUGHaKh"",""entities"":{""description"":{""urls"":[{""display_url"":""linktr.ee/matchnova"",""expanded_url"":""https://linktr.ee/matchnova"",""url"":""https://t.co/VkPlUGHaKh"",""indices"":[115,138]}]},""url"":{""urls"":[{""display_url"":""matchnova.com"",""expanded_url"":""http://matchnova.com"",""url"":""https://t.co/bReG45WYRH"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":42,""followers_count"":22994,""friends_count"":21,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":20,""location"":"""",""media_count"":78,""name"":""MatchNova | Public Beta Live"",""normal_followers_count"":22994,""pinned_tweet_ids_str"":[""1636038272102322177""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1630411301364326401/1677580892"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1630415184656486401/J-ybtZ5B_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""MatchNovaGlobal"",""statuses_count"":117,""translator_type"":""none"",""url"":""https://t.co/bReG45WYRH"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1643275996605599744"",""professional_type"":""Business"",""category"":[{""id"":15,""name"":""Entertainment & Recreation"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1630411301364326401"",""sortIndex"":""1726944887225450252""}"
"237","Mina","MinanananaY","https://pbs.twimg.com/profile_images/1668659460120641541/HaZrTCMT_normal.jpg","true","false","MYY社区|早期投研 #gamefi #BTC TG：https://t.me/+gv0FwydaIvQyMjFl YouTube：http://youtube.com/c/MyyClub Bitget返佣：http://partner.bitgetapp.com/bg/zl552440168…","{""__typename"":""User"",""id"":""VXNlcjoxNDcwMjY0Mzk4NDIxNzkwNzI1"",""rest_id"":""1470264398421790725"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Mon Dec 13 05:28:54 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""MYY社区|早期投研 #gamefi #BTC TG：https://t.co/n2JFqUVJfg YouTube：https://t.co/Bcbpee0Q7N Bitget返佣：https://t.co/Eg8pKIJhn6…"",""entities"":{""description"":{""urls"":[{""display_url"":""t.me/+gv0FwydaIvQyM…"",""expanded_url"":""https://t.me/+gv0FwydaIvQyMjFl"",""url"":""https://t.co/n2JFqUVJfg"",""indices"":[27,50]},{""display_url"":""youtube.com/c/MyyClub"",""expanded_url"":""http://youtube.com/c/MyyClub"",""url"":""https://t.co/Bcbpee0Q7N"",""indices"":[59,82]},{""display_url"":""partner.bitgetapp.com/bg/zl552440168"",""expanded_url"":""http://partner.bitgetapp.com/bg/zl552440168"",""url"":""https://t.co/Eg8pKIJhn6"",""indices"":[92,115]}]}},""fast_followers_count"":0,""favourites_count"":916,""followers_count"":12282,""friends_count"":259,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":67,""location"":""白马会"",""media_count"":255,""name"":""Mina"",""normal_followers_count"":12282,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1470264398421790725/1686640893"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1668659460120641541/HaZrTCMT_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""MinanananaY"",""statuses_count"":959,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1657083215276826633"",""professional_type"":""Creator"",""category"":[{""id"":933,""name"":""Media Personality"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1470264398421790725"",""sortIndex"":""1726944887225450251""}"
"238","Murphy","Murphychen888","https://pbs.twimg.com/profile_images/1516444026979110918/62-c_bRN_normal.jpg","true","false","17年入币圈，吃过""猪肉""也见过""猪跑""。这里有凡人逆袭跨越阶层的黄金机遇，但同样需遵循财富的边际是认知的客观定律；努力将链上数据分析和宏观情绪研究相结合，构建适合自己的交易思维。始终保持积极、乐观、谨慎！","{""__typename"":""User"",""id"":""VXNlcjo5NzI2NTI5NTIwOTg3NjI3NTI="",""rest_id"":""972652952098762752"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sun Mar 11 01:58:29 +0000 2018"",""default_profile"":true,""default_profile_image"":false,""description"":""17年入币圈，吃过\""猪肉\""也见过\""猪跑\""。这里有凡人逆袭跨越阶层的黄金机遇，但同样需遵循财富的边际是认知的客观定律；努力将链上数据分析和宏观情绪研究相结合，构建适合自己的交易思维。始终保持积极、乐观、谨慎！"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":128,""followers_count"":4097,""friends_count"":713,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":105,""location"":"""",""media_count"":226,""name"":""Murphy"",""normal_followers_count"":4097,""pinned_tweet_ids_str"":[""1725374664858652867""],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1516444026979110918/62-c_bRN_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Murphychen888"",""statuses_count"":890,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-972652952098762752"",""sortIndex"":""1726944887225450250""}"
"239","Yan Meng @ Solv Protocol | ERC-3525","myanTokenGeek","https://pbs.twimg.com/profile_images/1481938276277952512/PDVhuk07_normal.jpg","true","false","Cofounder of Solv (@SolvProtocol, http://solv.finance) protocol; Co-author of ERC-3525; SFT Labs/ERC-3525/Web3/DeSoc evangelist.","{""__typename"":""User"",""id"":""VXNlcjoxODMwOTc2MTE="",""rest_id"":""183097611"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Thu Aug 26 03:54:03 +0000 2010"",""default_profile"":false,""default_profile_image"":false,""description"":""Cofounder of Solv (@SolvProtocol, https://t.co/wYEUjR38Vp) protocol; Co-author of ERC-3525; SFT Labs/ERC-3525/Web3/DeSoc evangelist."",""entities"":{""description"":{""urls"":[{""display_url"":""solv.finance"",""expanded_url"":""http://solv.finance"",""url"":""https://t.co/wYEUjR38Vp"",""indices"":[34,57]}]},""url"":{""urls"":[{""display_url"":""solv.finance"",""expanded_url"":""https://solv.finance"",""url"":""https://t.co/L4DHq1izpG"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":1777,""followers_count"":33074,""friends_count"":463,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":399,""location"":""Melbourne, Australia"",""media_count"":317,""name"":""Yan Meng @ Solv Protocol | ERC-3525"",""normal_followers_count"":33074,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/183097611/1683552927"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1481938276277952512/PDVhuk07_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""myanTokenGeek"",""statuses_count"":5067,""translator_type"":""none"",""url"":""https://t.co/L4DHq1izpG"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1472012961178796032"",""professional_type"":""Creator"",""category"":[{""id"":958,""name"":""Entrepreneur"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-183097611"",""sortIndex"":""1726944887225450249""}"
"240","七舅姥爷","yeahwu404","https://pbs.twimg.com/profile_images/758615102564163584/BRWfouwv_normal.jpg","true","false","随时删推，见谅！ TG频道：http://t.me/Hello_1024","{""__typename"":""User"",""id"":""VXNlcjozNjQ1NjIyNzU5"",""rest_id"":""3645622759"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Tue Sep 22 05:50:09 +0000 2015"",""default_profile"":false,""default_profile_image"":false,""description"":""随时删推，见谅！ TG频道：https://t.co/XecRtYWv4T"",""entities"":{""description"":{""urls"":[{""display_url"":""t.me/Hello_1024"",""expanded_url"":""http://t.me/Hello_1024"",""url"":""https://t.co/XecRtYWv4T"",""indices"":[14,37]}]},""url"":{""urls"":[{""display_url"":""1024.day"",""expanded_url"":""https://1024.day"",""url"":""https://t.co/CWwF31aIHp"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":1517,""followers_count"":12547,""friends_count"":224,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":135,""location"":"""",""media_count"":98,""name"":""七舅姥爷"",""normal_followers_count"":12547,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/758615102564163584/BRWfouwv_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""yeahwu404"",""statuses_count"":1938,""translator_type"":""none"",""url"":""https://t.co/CWwF31aIHp"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1586434728953249792"",""professional_type"":""Creator"",""category"":[]},""entryId"":""user-3645622759"",""sortIndex"":""1726944887225450248""}"
"241","Angelmon 絮儿 🐰🧧 Fortune Bunny NFT","angelmonart","https://pbs.twimg.com/profile_images/1638592989269295104/MJcgqdLw_normal.png","true","false","新晋web3退圈业余投资人 🇸🇪🇨🇳 /跨境电商10年目前还在坚持中/ Co-founder of @soulmade_NFT & Fortune Bunny NFT","{""__typename"":""User"",""id"":""VXNlcjoxNTIwNzEwMTIyNzQ5NzY3Njgw"",""rest_id"":""1520710122749767680"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Sun May 01 10:22:39 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""新晋web3退圈业余投资人 🇸🇪🇨🇳 /跨境电商10年目前还在坚持中/ Co-founder of @soulmade_NFT & Fortune Bunny NFT"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""linktr.ee/angelmonart"",""expanded_url"":""https://linktr.ee/angelmonart"",""url"":""https://t.co/k1fHvzU89c"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":10107,""followers_count"":12387,""friends_count"":716,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":54,""location"":""Sweden"",""media_count"":603,""name"":""Angelmon 絮儿 🐰🧧 Fortune Bunny NFT"",""normal_followers_count"":12387,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1520710122749767680/1676282857"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1638592989269295104/MJcgqdLw_normal.png"",""profile_interstitial_type"":"""",""screen_name"":""angelmonart"",""statuses_count"":7914,""translator_type"":""none"",""url"":""https://t.co/k1fHvzU89c"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1607095619084058624"",""professional_type"":""Business"",""category"":[]},""entryId"":""user-1520710122749767680"",""sortIndex"":""1726944887225450247""}"
"242","大鱼","ShuYu622","https://pbs.twimg.com/profile_images/1725064222781145088/0i9iZGVa_normal.jpg","true","false","Web3五年职业BD / 币圈活地图 / 韭菜知心姐姐 OKX 是全球领先的加密货币交易平台，为用户提供币币、合约、理财等衍生品交易服务，立即注册http://okx.com/join/1901245","{""__typename"":""User"",""id"":""VXNlcjoxNDQ4ODM5Mzk4MTI5MjI1NzI5"",""rest_id"":""1448839398129225729"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Fri Oct 15 02:33:34 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""Web3五年职业BD / 币圈活地图 / 韭菜知心姐姐 OKX 是全球领先的加密货币交易平台，为用户提供币币、合约、理财等衍生品交易服务，立即注册https://t.co/HV0cVDccpd"",""entities"":{""description"":{""urls"":[{""display_url"":""okx.com/join/1901245"",""expanded_url"":""http://okx.com/join/1901245"",""url"":""https://t.co/HV0cVDccpd"",""indices"":[73,96]}]},""url"":{""urls"":[{""display_url"":""t.me/Cryptowhalescn"",""expanded_url"":""http://t.me/Cryptowhalescn"",""url"":""https://t.co/o8IxCNjN7q"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":3422,""followers_count"":13195,""friends_count"":495,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":84,""location"":"""",""media_count"":260,""name"":""大鱼"",""normal_followers_count"":13195,""pinned_tweet_ids_str"":[""1719156549514621111""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1448839398129225729/1667811747"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1725064222781145088/0i9iZGVa_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""ShuYu622"",""statuses_count"":3101,""translator_type"":""none"",""url"":""https://t.co/o8IxCNjN7q"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1562621323628916736"",""professional_type"":""Creator"",""category"":[{""id"":934,""name"":""Social Media Influencer"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1448839398129225729"",""sortIndex"":""1726944887225450246""}"
"243","郭宇 guoyu.eth","turingou","https://pbs.twimg.com/profile_images/1422205969077923841/jgLnMvyO_normal.jpg","true","false","Retired. ex ByteDancer #473. Founder of @ChecksFinance & @CodeforDAO , Onsen mania, live in Tokyo/Azumino/Miyakojima.","{""__typename"":""User"",""id"":""VXNlcjo0MjM1MjA1Ng=="",""rest_id"":""42352056"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Mon May 25 04:50:07 +0000 2009"",""default_profile"":false,""default_profile_image"":false,""description"":""Retired. ex ByteDancer #473. Founder of @ChecksFinance & @CodeforDAO , Onsen mania, live in Tokyo/Azumino/Miyakojima."",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""guoyu.mirror.xyz"",""expanded_url"":""https://guoyu.mirror.xyz/"",""url"":""https://t.co/XHBstBX012"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":2943,""followers_count"":82656,""friends_count"":1398,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":712,""location"":""東京 港区"",""media_count"":1580,""name"":""郭宇 guoyu.eth"",""normal_followers_count"":82656,""pinned_tweet_ids_str"":[""1568614885919191041""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/42352056/1651418512"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1422205969077923841/jgLnMvyO_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""turingou"",""statuses_count"":4930,""translator_type"":""none"",""url"":""https://t.co/XHBstBX012"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1484075953890684930"",""professional_type"":""Creator"",""category"":[{""id"":934,""name"":""Social Media Influencer"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-42352056"",""sortIndex"":""1726944887225450245""}"
"244","Eric Xu 🇺🇦","xleaps","https://pbs.twimg.com/profile_images/378800000484929316/504473ea3d2854766f29daf943fc42c1_normal.jpeg","true","false","polymath, polyglot, root of a ternary tree.","{""__typename"":""User"",""id"":""VXNlcjo3MzIzNjM="",""rest_id"":""732363"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":false,""created_at"":""Tue Jan 30 13:58:12 +0000 2007"",""default_profile"":false,""default_profile_image"":false,""description"":""polymath, polyglot, root of a ternary tree."",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""leaps.capital"",""expanded_url"":""http://leaps.capital"",""url"":""https://t.co/cTlXr3y8RR"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":6135,""followers_count"":32264,""friends_count"":2846,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":601,""location"":""Glencoe, IL"",""media_count"":209,""name"":""Eric Xu 🇺🇦"",""normal_followers_count"":32264,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/732363/1379724005"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/378800000484929316/504473ea3d2854766f29daf943fc42c1_normal.jpeg"",""profile_interstitial_type"":"""",""screen_name"":""xleaps"",""statuses_count"":11560,""translator_type"":""none"",""url"":""https://t.co/cTlXr3y8RR"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-732363"",""sortIndex"":""1726944887225450244""}"
"245","Tang","itangtalk","https://pbs.twimg.com/profile_images/1226535573763973120/G742v-hh_normal.jpg","true","false","🎬YouTube创作者http://youtube.com/@tangtalk ｜✍️内容创作者http://itangtalk.com ｜🛍️独立站运营http://shop.itangtalk.com","{""__typename"":""User"",""id"":""VXNlcjoxMDcwMzEwNzE5ODEwMjI4MjI1"",""rest_id"":""1070310719810228225"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Wed Dec 05 13:35:35 +0000 2018"",""default_profile"":true,""default_profile_image"":false,""description"":""🎬YouTube创作者https://t.co/swhw7Cg4BJ ｜✍️内容创作者https://t.co/xx60hvOOW2 ｜🛍️独立站运营https://t.co/Ufbw5dG1Ym"",""entities"":{""description"":{""urls"":[{""display_url"":""youtube.com/@tangtalk"",""expanded_url"":""http://youtube.com/@tangtalk"",""url"":""https://t.co/swhw7Cg4BJ"",""indices"":[11,34]},{""display_url"":""itangtalk.com"",""expanded_url"":""http://itangtalk.com"",""url"":""https://t.co/xx60hvOOW2"",""indices"":[43,66]},{""display_url"":""shop.itangtalk.com"",""expanded_url"":""http://shop.itangtalk.com"",""url"":""https://t.co/Ufbw5dG1Ym"",""indices"":[75,98]}]},""url"":{""urls"":[{""display_url"":""itangtalk.com"",""expanded_url"":""https://itangtalk.com"",""url"":""https://t.co/WGqtRF89Hi"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":114,""followers_count"":1889,""friends_count"":99,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":20,""location"":"""",""media_count"":404,""name"":""Tang"",""normal_followers_count"":1889,""pinned_tweet_ids_str"":[],""possibly_sensitive"":true,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1070310719810228225/1685947666"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1226535573763973120/G742v-hh_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""itangtalk"",""statuses_count"":869,""translator_type"":""none"",""url"":""https://t.co/WGqtRF89Hi"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1070310719810228225"",""sortIndex"":""1726944887225450243""}"
"246","徐老猫","raycat2021","https://pbs.twimg.com/profile_images/1593960369914933248/IWhkfyKB_normal.jpg","true","false","A disciple of Mont Pelerin, ex-McKinsey；全球财经/美股/公司的观察者，金融分析师。\n订阅“老猫-全球研报精选” http://raycat.substack.com/，顶尖经济学家/分析师研报，帮你遴选解读。","{""__typename"":""User"",""id"":""VXNlcjoxNTY1ODk1MzI1OTQ0MjcwODQ5"",""rest_id"":""1565895325944270849"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Sep 03 02:52:04 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""A disciple of Mont Pelerin, ex-McKinsey；全球财经/美股/公司的观察者，金融分析师。\n订阅“老猫-全球研报精选” https://t.co/vkvxArcAkk，顶尖经济学家/分析师研报，帮你遴选解读。"",""entities"":{""description"":{""urls"":[{""display_url"":""raycat.substack.com"",""expanded_url"":""http://raycat.substack.com/"",""url"":""https://t.co/vkvxArcAkk"",""indices"":[76,99]}]}},""fast_followers_count"":0,""favourites_count"":12727,""followers_count"":69045,""friends_count"":2767,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":711,""location"":""Land of Abundance"",""media_count"":1231,""name"":""徐老猫"",""normal_followers_count"":69045,""pinned_tweet_ids_str"":[""1724775999399952802""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1565895325944270849/1664633125"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1593960369914933248/IWhkfyKB_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""raycat2021"",""statuses_count"":5960,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1568046567202111488"",""professional_type"":""Business"",""category"":[{""id"":477,""name"":""Professional Services"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1565895325944270849"",""sortIndex"":""1726944887225450242""}"
